id;CC;CD;DT;EX;FW;IN;JJ;JJR;JJS;LS;MD;NN;NNS;NNP;NNPS;PDT;POS;PRP;PRP$;RB;RBR;RBS;RP;SYM;TO;UH;VB;VBD;VBG;VBN;VBP;VBZ;WDT;WP;WP$;WRB;Class
124.txt;1;4;9;1;0;2;5;1;0;0;0;6;8;4;0;0;0;2;0;0;0;0;0;0;1;0;0;4;0;1;1;6;0;0;0;1;1
34.txt;0;2;6;0;0;9;4;0;0;0;0;8;4;4;0;0;0;8;1;1;0;0;0;0;4;0;4;1;0;0;5;6;0;0;0;0;1
45.txt;1;3;5;2;0;9;1;0;0;0;0;5;7;3;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;1;5;2;0;0;0;0;1
4.txt;0;0;12;1;0;5;1;0;0;0;0;12;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;1
147.txt;1;1;7;0;0;5;5;0;0;0;2;6;7;3;0;0;0;11;1;4;0;0;0;0;8;0;10;0;0;1;0;13;0;0;0;0;1
47.txt;1;0;12;0;0;10;2;1;0;0;1;9;1;3;0;0;0;11;0;0;0;0;0;0;1;0;2;0;1;0;0;12;0;1;0;0;1
148.txt;0;1;15;2;0;10;5;1;0;0;0;12;5;4;0;0;0;5;1;2;1;0;0;0;0;0;1;0;0;1;3;7;0;0;0;0;1
100.txt;4;1;16;0;0;8;3;0;0;0;0;21;2;1;0;0;0;2;1;0;0;0;0;0;3;0;3;0;1;0;3;9;0;0;0;0;1
116.txt;0;0;13;0;0;5;1;0;0;0;0;16;2;0;0;0;0;5;0;0;0;0;1;0;1;0;2;1;1;1;1;7;0;0;0;0;1
87.txt;0;2;11;1;0;4;5;0;0;0;1;3;13;1;0;0;0;3;0;6;0;0;0;0;1;0;1;0;0;0;8;1;0;1;0;0;1
16.txt;0;3;16;0;0;9;4;0;1;0;2;14;6;7;0;0;0;8;0;3;0;0;0;0;3;0;5;0;0;0;4;9;0;0;0;0;1
127.txt;0;1;8;2;0;8;6;1;0;0;1;12;8;2;0;0;0;6;0;2;0;0;0;0;0;0;2;0;3;0;3;8;2;0;0;0;1
136.txt;0;0;6;1;0;4;3;0;0;0;0;8;5;2;0;0;0;9;2;2;0;0;0;0;1;0;0;0;0;0;6;7;0;0;0;0;1
62.txt;1;2;12;0;0;4;4;0;0;0;0;11;5;3;0;0;0;8;0;7;0;0;1;0;3;0;3;1;0;0;3;8;0;0;0;0;1
75.txt;0;1;10;0;0;6;1;0;1;0;0;8;4;1;0;0;0;4;0;2;0;0;1;0;1;0;1;1;4;0;4;6;0;0;0;1;1
86.txt;1;0;9;0;0;4;2;0;0;0;0;10;2;1;0;0;1;7;0;2;0;0;0;0;2;0;2;0;0;0;2;9;0;0;0;0;1
107.txt;1;0;11;1;0;6;6;1;2;0;1;7;12;4;0;0;1;6;0;4;1;0;0;0;1;0;2;0;0;1;9;3;0;0;0;0;1
142.txt;0;2;8;0;0;5;3;0;0;0;0;11;2;0;1;0;0;6;1;5;1;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;1
151.txt;0;3;8;0;0;10;10;1;0;0;1;9;9;5;0;0;1;5;0;5;0;0;0;0;1;0;1;0;0;0;5;7;0;0;0;0;1
32.txt;0;1;6;1;0;2;3;0;0;0;0;6;5;1;0;0;0;5;0;0;0;0;0;0;2;0;1;0;0;0;3;3;0;0;0;0;1
123.txt;1;1;7;0;0;7;2;0;0;0;1;9;6;5;1;0;0;6;1;1;0;0;0;0;1;0;3;0;0;0;8;1;0;0;0;0;1
64.txt;0;2;15;0;0;11;6;0;0;0;0;15;2;3;0;0;1;8;2;4;0;1;0;0;1;0;0;0;0;0;0;12;0;0;0;0;1
129.txt;0;4;9;2;0;6;3;0;0;0;2;10;6;2;0;0;0;5;0;0;0;0;0;0;0;0;2;0;1;0;4;2;0;0;0;0;1
9.txt;1;2;7;1;0;7;4;0;0;0;0;6;7;2;0;0;0;8;0;3;0;0;0;0;3;0;0;1;0;0;5;3;0;0;0;0;1
141.txt;0;1;10;1;0;4;2;0;0;0;1;8;5;9;0;0;0;3;0;3;0;0;0;0;1;0;1;8;0;0;0;1;0;0;0;0;1
15.txt;0;3;4;0;0;3;0;0;1;0;0;6;5;3;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;1;1;3;0;0;0;0;1
143.txt;1;2;10;3;0;7;3;0;1;0;2;13;3;3;0;0;1;6;0;2;0;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;1
7.txt;1;4;5;0;0;5;1;0;0;0;1;4;2;8;0;0;0;3;0;2;0;0;0;0;1;0;1;1;0;0;3;0;0;0;0;0;1
54.txt;1;0;7;0;0;1;2;1;1;0;1;10;2;6;0;0;1;5;1;0;1;0;0;0;3;0;2;0;2;0;0;8;0;0;0;0;1
65.txt;0;0;11;0;0;4;3;0;0;0;0;9;12;1;0;0;2;4;1;1;0;0;0;0;3;0;2;0;0;0;7;2;0;1;0;1;1
63.txt;0;1;7;0;0;8;2;0;0;0;0;9;5;4;0;0;0;9;4;5;0;0;0;0;2;0;1;0;1;0;3;10;0;0;0;0;1
19.txt;1;2;7;0;0;6;6;0;0;0;2;11;8;2;0;0;1;8;1;3;1;0;0;0;2;0;3;0;0;0;3;5;0;0;0;0;1
81.txt;1;2;12;0;0;4;6;0;0;0;0;14;4;0;0;0;0;9;1;3;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;0;1
43.txt;2;1;8;1;0;6;4;0;0;0;2;11;4;9;0;0;0;4;0;2;0;0;0;0;1;0;3;0;0;0;0;10;0;0;0;0;1
22.txt;0;2;8;0;0;11;3;0;0;0;0;11;9;2;0;0;0;3;2;0;0;0;0;0;0;0;0;1;1;0;5;3;0;0;0;0;1
26.txt;0;2;9;0;0;5;4;0;0;0;0;10;7;3;0;0;0;2;1;1;0;0;1;0;2;0;2;1;1;0;4;5;1;0;0;1;1
23.txt;0;2;4;2;0;4;2;0;0;0;1;5;5;3;0;0;0;1;0;3;0;0;0;0;1;0;2;0;1;1;1;5;0;0;0;0;1
153.txt;1;3;11;2;0;8;3;0;0;0;2;16;3;1;0;0;1;5;0;5;0;0;0;0;2;0;3;0;1;0;2;7;0;0;0;0;1
114.txt;3;2;18;1;0;11;8;0;0;0;1;18;9;3;0;0;1;10;2;6;0;0;0;0;0;0;1;0;0;1;7;10;0;0;0;0;1
112.txt;0;2;4;1;0;6;5;0;0;0;0;6;4;5;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;0;1
55.txt;1;2;13;1;0;8;1;0;0;0;1;15;3;2;0;1;0;12;1;6;0;0;0;0;2;0;4;0;0;2;2;13;0;0;0;0;1
89.txt;1;2;9;0;0;4;5;0;1;0;0;8;12;0;0;0;0;3;0;5;0;0;0;0;0;0;0;1;0;3;7;6;1;0;0;1;1
42.txt;0;0;9;1;0;3;3;0;0;0;0;12;3;4;0;0;0;2;1;3;0;0;0;0;1;0;1;0;0;0;2;5;0;0;0;0;1
82.txt;1;1;8;2;0;4;4;0;0;0;1;15;5;0;0;0;0;5;5;4;0;0;0;0;3;0;4;1;0;0;2;6;0;0;0;0;1
99.txt;0;1;11;2;0;6;3;0;0;0;0;11;5;0;0;0;0;6;0;4;0;0;2;0;3;0;3;1;0;1;2;6;0;0;0;0;1
91.txt;2;0;10;0;0;6;4;0;2;0;0;7;9;1;0;0;0;7;1;3;0;0;0;0;1;0;1;1;0;0;10;1;0;0;0;0;1
17.txt;0;1;7;2;0;3;0;0;0;0;0;9;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;6;0;0;0;0;1
21.txt;1;1;8;0;0;9;5;0;0;0;0;10;5;6;0;0;0;9;1;0;0;0;0;0;0;0;0;2;2;0;1;10;0;0;0;0;1
101.txt;1;3;11;0;0;6;7;1;0;0;2;16;9;2;0;0;0;11;5;6;0;0;0;0;0;0;2;0;2;0;8;7;0;0;0;0;1
71.txt;0;1;10;0;0;8;4;0;0;0;0;10;3;1;0;0;0;5;0;5;0;0;0;0;2;0;2;0;0;3;3;6;0;0;0;0;1
140.txt;3;2;14;1;0;13;7;2;0;0;0;16;14;1;0;0;0;10;3;6;0;0;0;0;4;0;3;0;0;0;6;13;0;0;0;2;1
138.txt;0;1;11;0;0;5;5;0;0;0;2;12;3;4;1;0;0;9;3;2;0;0;0;0;2;0;3;0;0;0;2;8;0;0;0;0;1
102.txt;0;2;10;0;0;14;3;0;0;0;2;13;4;5;0;0;1;13;4;5;0;0;2;0;2;0;3;0;0;0;1;13;0;0;0;1;1
11.txt;1;2;6;0;0;5;2;0;0;0;1;8;8;8;0;0;0;1;1;2;0;0;0;0;4;0;2;0;0;0;5;2;0;0;0;0;1
69.txt;1;3;12;0;0;9;1;0;0;0;0;14;8;1;0;0;0;5;2;0;1;0;0;0;1;0;2;0;1;0;5;5;0;0;0;0;1
76.txt;0;4;11;1;0;9;6;0;0;0;0;10;12;3;0;0;0;4;1;4;0;0;0;0;3;0;3;0;0;1;7;7;0;0;0;0;1
150.txt;0;3;11;2;0;11;3;0;0;0;1;18;7;3;0;0;0;5;0;2;0;0;0;0;3;0;2;0;0;1;6;4;0;0;0;0;1
